"Mean humidity at some stations by Cities, provinces and Year"

"Cities, provinces";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015"
"Lai Chau";78.0;81.0;83.8;80.1;79.2;82.3;83.2;83.0;79.6;80.5
"Son La";80.0;80.0;82.8;77.9;78.3;81.2;80.2;80.0;79.8;78.7
"Tuyen Quang";83.0;82.0;82.2;80.3;79.5;81.9;82.1;81.0;81.7;80.3
"Ha Noi";78.0;78.0;79.3;76.9;77.7;77.3;78.5;78.0;78.5;78.3
"Bai Chay";82.0;80.0;80.8;81.0;82.3;82.1;84.2;83.0;81.9;82.8
"Nam Dinh";83.0;82.0;83.6;82.9;83.0;81.1;84.7;84.0;83.6;82.2
"Vinh";83.0;82.0;81.9;81.3;81.7;83.0;82.3;84.0;83.3;81.8
"Hue";85.0;87.0;87.6;87.2;87.1;87.8;85.0;87.0;85.4;85.4
"Da Nang";81.0;82.0;82.0;81.0;82.4;80.8;79.9;81.0;80.6;80.7
"Qui Nhon";77.0;79.0;78.7;77.7;80.8;76.4;75.2;79.0;77.5;80.0
"Pleiku";83.0;83.0;83.5;83.2;83.0;82.0;80.8;80.0;80.2;80.1
"Da Lat";87.0;86.0;86.8;85.8;85.8;84.3;83.8;84.0;85.8;84.0
"Nha Trang";78.0;80.0;80.3;79.9;79.2;77.6;78.5;78.0;76.9;77.0
"Vung Tau";77.0;78.0;77.8;79.6;81.8;79.1;78.2;78.0;77.6;76.8
"Ca Mau";83.0;83.0;83.2;82.3;84.0;79.5;81.3;81.0;81.0;80.0
