"Mean air temperature at some stations by Cities, provinces and Year"

"Cities, provinces";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015"
"Lai Chau";23.3;23.2;23.0;23.8;24.0;23.6;20.2;19.9;20.1;20.6
"Son La";21.8;21.5;20.7;21.9;22.1;20.6;21.9;21.4;21.8;22.3
"Tuyen Quang";24.0;24.0;23.2;24.2;24.2;22.8;23.8;23.8;24.0;24.8
"Ha Noi";24.7;24.6;23.7;24.9;24.9;23.3;24.3;24.4;24.6;25.3
"Bãi  Cháy";23.9;23.8;23.1;24.0;24.0;22.6;23.5;23.5;23.7;24.4
"Nam Dinh";24.4;24.2;23.3;24.4;24.6;22.9;24.0;23.8;24.2;25.0
"Vinh";25.1;24.9;24.1;25.0;25.3;23.3;24.8;24.5;24.8;25.5
"Hue";25.4;25.0;24.2;25.0;25.4;23.8;25.3;25.0;25.3;25.7
"Da Nang";26.3;26.2;25.5;26.3;26.3;25.2;26.5;26.2;26.3;26.7
"Qui Nhon";27.4;27.0;26.8;27.2;27.4;26.9;27.7;27.2;27.2;27.5
"Pleiku";22.3;22.2;21.8;22.0;22.0;21.6;22.5;22.4;22.4;22.9
"Da Lat";18.3;18.1;18.0;18.2;18.2;18.1;18.5;18.4;18.2;18.5
"Nha Trang";27.2;26.7;26.6;27.0;27.4;26.7;27.5;27.2;27.1;27.4
"Vung Tau";28.0;27.8;27.7;27.7;27.7;27.5;28.0;28.0;27.9;28.1
"Ca Mau";27.6;27.5;27.2;27.5;27.5;27.5;27.7;27.8;27.7;28.0
