"Average income of employed workers in State sector by kinds of economic activity by Economic activity and Year"

"Economic activity";"2005";"2007";"2008";"2009";"2010";"2012";"2013";"2014";"Prel. 2015"
"TOTAL";1639.5;2349.7;2702.2;3027.2;3259.5;4465.6;5139.0;5495.6;5695.3
"Agriculture, forestry and fishing";1130.4;1710.5;2080.5;2688.3;3125.2;5199.0;5338.8;4942.9;4545.2
"Mining and quarrying";3504.0;4668.2;6254.9;6439.9;4453.2;5532.9;6586.0;6919.2;7407.5
"Manufacturing";1777.4;2323.7;2530.1;2742.2;3280.0;4472.3;5092.0;5426.8;5797.2
"Electricity, gas, steam and air conditioning supply";2620.3;3867.5;3838.4;4343.2;5551.4;5575.3;6016.1;6135.6;6743.4
"Water supply, sewerage, waste management and remediation activities";1475.0;2138.8;2563.5;2939.2;3794.4;3957.1;4608.8;4904.7;5199.7
"Construction";1566.9;2103.9;2335.0;2746.2;3122.5;4624.1;6123.7;6575.9;7181.4
"Wholesale and retail trade; repair of motor vehicles and motorcycles";1836.0;2426.5;2645.9;3042.7;3357.0;5043.9;5536.7;5866.3;6861.1
"Transportation and storage";2973.8;3760.7;4007.4;4261.1;4296.4;5693.3;6474.8;6502.1;7217.2
"Accommodation and food service activities";1852.5;2952.0;3092.1;3324.6;3387.4;5205.5;4967.6;5163.7;5648.0
"Information and communication";3688.7;4518.3;4820.4;4973.7;5104.5;5644.3;5917.7;6007.5;6445.4
"Financial, banking and insurance activities";3352.9;6160.5;6590.5;6811.0;6380.6;6853.7;7153.9;7733.1;7217.1
"Real estate activities";2280.2;3652.2;4026.2;3967.4;4365.8;6761.9;6482.7;8404.5;6223.6
"Professional, scientific and technical activities";2582.0;2771.3;3007.6;3206.2;3542.7;5521.3;6177.3;6491.8;5853.1
"Administrative and support service activities";2170.5;2785.9;3047.5;2875.7;3344.6;4321.4;5114.6;5528.5;5039.7
"Activities of Communist Party. socio-political organizations; public administration and defence; compulsory security";1019.5;1725.8;2015.8;2315.5;2536.1;3880.3;4644.8;4965.4;5200.9
"Education and training";1337.0;1964.6;2387.7;2754.2;2980.0;4263.0;5019.4;5502.5;5729.6
"Human health and social work activities";1322.1;2059.3;2409.2;2840.5;3104.6;4490.6;5059.9;5515.0;5486.3
"Arts, entertainment and recreation";1254.7;2021.7;2310.9;2765.6;2946.5;4343.8;4555.4;5025.9;5353.0
"Other service activities";1287.4;1708.1;2067.0;2563.2;2524.4;3090.8;3683.6;3639.2;4229.6
