"Number of supermarkets as of annual December 31st by province by Cities, provinces and Year"

"Cities, provinces";"2005";"2009";"2010";"2011";"2012";"2013";"2014";"2015"
"WHOLE COUNTRY";385;451;571;638;659;724;762;799
" Red River Delta";107;138;148;165;171;171;201;235
"Ha Noi";59;78;74;88;100;94;103;137
"Vinh Phuc";5;3;3;4;5;5;7;7
"Bac Ninh";3;4;8;8;8;11;12;14
"Quang Ninh";8;8;11;14;12;15;15;18
"Hai Duong";5;7;7;8;5;5;4;4
"Hai Phong";9;9;11;11;9;12;17;22
"Hung Yen";7;9;9;6;8;7;12;12
"Thai Binh";..;7;8;8;8;8;11;0
"Ha Nam";3;2;3;5;4;4;5;6
"Nam Dinh";3;6;7;6;5;5;5;8
"Ninh Binh";5;5;7;7;7;5;10;7
"Northern midlands and moutain areas";32;37;60;63;66;76;89;78
"Ha Giang";..;..;..;3;3;4;5;5
"Cao Bang";1;1;1;2;2;2;3;2
"Bac Kan";1;1;1;4;4;4;5;5
"Tuyen Quang";..;..;4;12;11;10;13;13
"Lao Cai";10;10;13;3;1;1;1;1
"Yen Bai";3;4;3;14;13;19;25;19
"Thai Nguyen";9;8;14;4;4;3;2;2
"Lang Son";1;1;4;3;3;3;6;4
"Bac Giang";1;2;2;11;9;12;12;11
"Phu Tho";3;4;11;..;9;9;7;8
"Lai Chau";1;1;1;2;1;3;4;4
"Son La";2;2;2;2;2;3;3;1
"Hoa Binh";..;3;4;3;4;3;3;3
"North Central and Central coastal areas";90;98;119;144;140;167;172;190
"Thanh Hoa";10;8;12;12;12;14;26;27
"Nghe An";10;10;22;28;23;39;39;39
"Ha Tinh";6;6;6;6;1;9;2;2
"Quang Binh";2;3;4;16;11;9;10;10
"Quang Tri";7;8;10;7;9;10;9;9
"Thua Thien - Hue";7;8;8;8;8;5;6;6
"Da Nang";21;24;23;29;34;39;39;53
"Quang Nam";..;1;1;1;1;2;1;1
"Quang Ngai";10;10;9;5;5;5;6;6
"Binh Dinh";1;2;2;3;6;7;6;6
"Phu Yen";2;2;2;2;1;1;1;2
"Khanh Hoa";13;13;16;22;22;23;24;24
"Ninh Thuan";..;2;3;4;5;2;2;2
"Binh Thuan";1;1;1;1;2;2;1;3
"Central Highlands";17;14;24;24;25;24;23;24
"Kon Tum";4;1;3;2;2;2;2;2
"Gia Lai";9;7;13;12;13;13;13;13
"Dak Lak";1;3;4;5;5;4;3;5
"Lam Dong";3;3;4;5;5;5;5;4
"South East";110;123;170;186;195;223;210;212
"Binh Phuoc";..;1;1;1;1;3;1;1
"Tay Ninh";8;8;2;7;6;8;8;4
"Binh Duong";12;17;13;10;8;11;11;11
"Dong Nai";5;6;6;9;10;7;8;9
"Ba Ria - Vung Tau";3;4;6;7;8;9;9;8
"TP. Ho Chi Minh";82;87;142;152;162;185;173;179
" Mekong River Delta";29;41;50;56;62;63;67;60
"Long An";2;2;2;2;2;2;2;3
"Tien Giang";3;4;4;4;5;6;8;7
"Ben Tre";3;3;2;2;2;1;1;2
"Tra Vinh";2;2;2;5;4;4;4;3
"Vinh Long";4;4;4;4;4;4;5;4
"Dong Thap";4;10;12;14;16;14;12;5
"An Giang";4;4;5;6;6;7;7;4
"Kien Giang";2;2;2;2;3;7;6;6
"Can Tho";4;8;10;9;11;8;8;11
"Hau Giang";1;1;1;1;1;2;3;4
"Soc Trang";..;..;5;5;5;5;5;5
"Bac Lieu";..;1;1;2;2;2;4;4
"Ca Mau";..;..;..;..;1;1;2;2
