"Merchandise Import Price Index (USD, Previous year = 100) by Commondity group and Year"

"Commondity group";"2011";"2012";"2013";"2014";"2015"
"GENERAL IMPORT PRICE INDEX";120.18;99.67;97.64;98.95;94.18
"Fishery products";116.43;102.53;105.70;102.64;93.43
"Milk and milk products";125.63;102.22;105.69;103.64;101.21
"Vegetables and fruit";103.74;100.53;107.40;108.57;98.74
"Wheat";118.13;97.86;112.33;91.71;90.99
"Animail or Vegetable oil and fats";123.24;99.02;100.97;102.02;97.56
"Confectionery and cereal preparations";125.52;99.07;106.82;99.01;99.45
"Aninal fodder and materials";104.47;104.86;115.04;96.54;89.26
"Auxiliary materials for cigarettes";122.58;94.18;99.56;98.96;99.64
"Clinker";131.97;110.34;97.86;99.15;98.00
"Petroleum oil, refined";141.43;104.41;95.77;95.62;59.64
"Liquefied petroleum gas";120.13;104.17;96.81;99.89;57.65
"Other petroleum products";123.75;102.49;100.39;100.06;81.80
"Chemicals";116.76;98.03;94.16;95.72;92.78
"Chemical products";120.33;98.88;92.67;99.41;94.77
"Medicine materials";109.70;99.66;91.56;107.36;102.17
"Pharmaceutical products";100.39;99.33;101.32;101.22;105.70
"Chemical Fertilizers";121.17;107.17;82.17;86.47;85.94
"Insecticides and materials";121.04;100.14;92.32;98.72;91.26
"Plastic materials";116.78;95.82;102.42;103.99;87.01
"Articles of plastic";122.29;98.90;99.48;102.59;88.36
"Rubber";134.03;89.24;78.85;89.52;82.09
"Articles of rubber";124.12;99.31;98.74;95.84;83.83
"Wood and articles of wood";112.24;104.09;102.31;107.10;93.75
"Paper";105.47;92.11;98.95;100.83;95.13
"Articles of paper";114.96;98.93;99.97;100.39;96.63
"Fibresm not spun";120.14;92.30;99.14;95.99;90.93
"Textile fibrics";119.56;107.48;99.02;98.45;101.85
"Auxiliary materials for textile, garment, leather, footwear";126.24;102.47;93.40;99.51;101.07
"Precious stones, precious metals and their products";121.78;103.55;95.78;98.75;98.53
"Iron, Steel";115.21;94.04;89.52;96.11;84.45
"Articles of iron and steel";123.66;98.76;99.42;95.63;86.60
"Other base metals";119.24;101.16;92.48;96.05;89.18
"Other base metal products";118.32;101.30;96.99;99.17;90.47
"Electronic parts (including TV parts), computer and their parts";116.34;97.48;95.89;100.40;104.98
"Machinery, apparatus, accessory";112.72;97.17;99.59;100.24;101.93
"Electrical wire and cable";120.78;100.63;101.52;90.43;93.38
"Motor vehicles";125.76;97.30;97.78;98.68;94.56
"Unassembled and parts for motor";122.33;98.62;99.64;98.73;94.34
"Assembled motorcycles";119.60;99.22;98.31;98.55;96.77
"Unassembled and parts for motorcycles";120.37;100.04;97.69;97.86;94.71
"Other means of transort and equipment";117.68;98.94;95.29;98.37;96.25
"Others";128.76;93.28;99.46;99.34;94.75
