"Transportation and warehouse price index (Previous year = 100) by Items and Year"

"Items";"2011";"2012";"2013";"2014";"2015"
"Transportation and warehouse Price Index";114.48;113.20;106.48;103.13;96.74
"Passenger transportation";118.37;122.00;107.38;102.43;96.15
"Freight transportation";112.84;107.82;104.91;104.06;95.98
"Warehouse and transport service activities'";109.53;108.22;109.45;102.09;101.36
"Road and railway transport services";116.06;110.38;108.81;105.12;93.98
"Railway transport services";120.84;115.49;108.23;100.71;90.91
"Road transport and bus services";115.61;109.98;108.84;105.52;94.28
"Waterway  transport services";109.67;107.84;102.55;101.82;97.07
"Sea and Coastal transport services";109.39;107.87;101.73;101.63;96.53
"Inland waterway transport services";110.88;107.80;104.65;102.55;99.29
"Aviation transport service";118.39;131.97;103.45;100.00;100.00
"Warehouse and transport service activities";109.53;108.22;109.45;102.09;101.36
