"Structure of exports of goods by Standard International Trade Classification (SITC) by SITC and Year"

"SITC";"2005";"2008";"2009";"2010";"2011";"2012";"2013";"2014"
"TOTAL";100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0
"Primary products";49.7;44.2;39.0;34.8;34.8;30.7;25.5;23.8
"Food, foodstuff and live animals";19.5;19.4;20.2;18.6;18.0;16.4;14.0;14.3
"Beverage and tobacco";0.5;0.3;0.4;0.4;0.4;0.4;0.4;0.4
"Crude materials, inedible, except fuels";3.8;4.0;3.4;4.7;4.9;3.7;3.6;2.8
"Mineral fuels, lubricants and related materials";25.8;20.3;14.9;11.0;11.3;9.9;7.3;6.1
"Animal and vegetable oil, fat and wax";0.1;0.2;0.1;0.1;0.2;0.3;0.2;0.2
"Manufactured products";50.3;55.2;59.6;65.1;65.1;69.2;74.4;76.2
"Chemical and related products, n.e.s";1.6;2.3;2.2;2.6;3.0;3.3;2.9;2.8
"Manufactured goods classified chiefly by materials";6.7;10.2;9.2;11.7;11.2;10.7;10.5;11.0
"Machinery, transports and equipments";9.7;11.7;13.0;15.9;19.4;26.8;32.6;32.4
"Miscellaneous manufactured articles";32.3;31.0;35.2;34.9;31.5;28.4;28.4;30.0
"Commodities are not classified elsewhere in SITC";0.0;0.6;1.4;0.1;0.1;0.1;0.1;0.0
