"Total capacity of upper 90 CV offshore fishing vessels by provinc by Cities, provincies and Year"

"Cities, provincies";"2010";"2012";"2013";"2014";"Prel.2015"
"WHOLE COUNTRY";4145.4;5516.5;6938.7;8084.9;9388.8
"Red River Delta";115.5;149.0;160.4;204.1;264.8
"Quang Ninh";17.9;15.6;21.3;30.4;35.9
"Hai Phong";30.8;60.2;59.6;79.3;88.5
"Thai Binh";25.7;27.5;38.4;44.8;49.2
"Nam Đinh";40.4;44.9;40.2;48.8;89.9
"Ninh Binh";0.6;0.9;0.9;0.9;1.2
"North Central and Central coastal areas";1386.7;2223.5;3092.8;3885.6;4996.6
"Thanh Hoa";117.1;140.3;249.2;233.6;265.0
"Nghe An";103.4;196.2;260.3;342.0;431.3
"Ha Tinh";8.3;4.2;18.5;28.5;51.0
"Quang Binh";40.6;77.8;114.9;274.8;448.3
"Quang Tri";11.7;14.9;29.7;41.8;48.3
"Thua Thien - Hue";18.1;24.6;38.8;47.9;54.8
"Đa Nang";30.7;36.2;67.1;71.4;141.6
"Quang Nam";14.9;22.3;31.8;137.9;152.0
"Quang Ngai";208.8;472.6;629.9;868.2;1005.9
"Binh Đinh";120.0;393.8;658.2;792.3;1030.6
"Phu Yen";78.7;115.0;138.1;143.8;243.4
"Khanh Hoa";47.2;95.6;108.1;110.6;208.8
"Ninh Thuan";143.2;159.6;188.6;220.3;192.6
"Binh Thuan";444.2;470.3;559.5;572.6;723.0
"South East";385.9;707.8;873.4;925.9;960.7
"Ba Ria - Vung Tau";363.4;700.2;868.3;918.6;953.9
"TP. Ho Chi Minh";22.6;7.6;5.2;7.3;6.8
"Mekong River Delta";2257.3;2436.2;2812.1;3039.6;3166.8
"Long An";..;0.6;1.9;1.9;1.0
"Tien Giang";193.9;164.3;182.9;217.5;212.5
"Ben Tre";414.4;622.0;661.4;718.5;747.8
"Tra Vinh";23.5;36.9;41.8;49.1;43.5
"Kien Giang";1139.1;1147.0;1426.0;1542.0;1611.1
"Soc Trang";82.3;84.7;105.3;105.5;106.5
"Bac Lieu";126.7;128.4;140.8;159.4;139.3
"Ca Mau";277.4;252.3;252.1;275.3;305.0
